customer_id,name,email,phone,age,gender,city,state,signup_date,customer_segment,is_active
1,Alicia Thompson,richardbrooks@example.net,344-805-3230x44262,58,M,Lake Michaelstad,New Mexico,2023-06-27,Premium,True
2,Cassandra Gallagher,vgray@example.net,247.735.2134,33,M,Harrisland,North Carolina,2024-01-11,Premium,True
3,Kelly Crane,david69@example.com,369-408-8019x1338,61,Other,North Tyler,Connecticut,2024-10-27,Occasional,True
4,Christy White,lewisdennis@example.net,001-697-889-5823x58852,55,F,Lake Vanessaburgh,Ohio,2024-11-22,Premium,True
5,Dawn Sanders,sarah97@example.org,710.708.3913x0882,23,M,Johnsonmouth,Nebraska,2023-05-19,Premium,True
6,Michael Williams,michaelhamilton@example.org,(316)532-6275,53,M,Gonzalezport,Florida,2024-12-10,Occasional,False
7,Frank Johnson,curtis28@example.org,+1-917-450-1805,32,F,Whitechester,Oklahoma,2023-02-23,Occasional,True
8,Elizabeth Morrow,melissabauer@example.com,(588)561-1235x814,69,M,New Amanda,Vermont,2024-11-27,Premium,False
9,Jennifer Salinas,egreen@example.com,(378)567-7366x56350,39,F,Williamsmouth,Delaware,2025-07-18,Premium,True
10,Linda Lewis DVM,bryan01@example.com,(713)831-1960x6049,66,F,Tinatown,Oklahoma,2023-03-30,Premium,True
11,Michael Ayers,murphyjoe@example.org,930.682.4276x9784,42,M,West Kellytown,Michigan,2025-07-28,Regular,True
12,Billy Lopez,kevin62@example.net,679-865-9757x37369,56,F,West Brianfort,Wisconsin,2023-09-09,Premium,False
13,Michael Hunt,rogerskristy@example.org,+1-713-484-6986x895,52,M,New Michaelburgh,New York,2025-06-26,Regular,True
14,Nathan Smith,aprilrichmond@example.org,(488)563-8255,53,F,Anthonymouth,North Carolina,2023-12-20,Occasional,True
15,Charles Willis,jamessmith@example.net,001-510-673-9093x609,54,M,Williamsshire,Indiana,2025-02-22,Occasional,True
16,Tiffany White,gray@example.net,(319)995-1472,20,Other,Melissashire,Alaska,2025-04-11,Premium,True
17,Christina Mercado,timothythomas@example.net,001-887-729-6611x02055,23,M,Bellberg,Alaska,2025-11-29,Premium,False
18,Christopher Simmons,kennedyashley@example.com,707-451-2883,35,F,Edwardton,New Mexico,2023-08-27,Occasional,True
19,John Bishop,gallowayrichard@example.org,310.987.0916x561,28,F,Kimville,Massachusetts,2024-04-16,Regular,True
20,Jacqueline Aguilar,fmichael@example.org,(868)262-0896,60,F,West Cindyburgh,Michigan,2023-01-14,Occasional,True
21,Brandy Erickson,jasonadams@example.org,538-875-4368,56,Other,South Anthonyport,Minnesota,2023-09-15,Premium,True
22,Fred Zhang,mnelson@example.org,(908)768-4528,28,F,Rickyville,Massachusetts,2024-08-28,Regular,True
23,Thomas Diaz,laura29@example.org,678-829-8441,58,Other,Gallegosburgh,Kentucky,2022-12-29,Occasional,True
24,Denise Moran,rbyrd@example.com,(977)546-4816,61,F,Gordonshire,Florida,2023-01-09,Premium,True
25,Anthony Monroe,nhughes@example.com,977.426.0008x1140,70,M,Paulchester,South Carolina,2023-06-18,Regular,False
26,Hayden Elliott,brownandrew@example.com,748-853-3560,35,M,Nicolehaven,Connecticut,2023-03-20,Premium,True
27,Jessica Pittman,evan17@example.net,+1-439-793-0285x374,31,Other,North Melissa,West Virginia,2025-02-05,Regular,False
28,Dean Perkins,john47@example.net,(669)813-1253,74,Other,New Brandonside,Delaware,2025-11-19,Regular,True
29,Brian Griffith,evansjason@example.com,246-882-7392x83954,34,M,South Randy,Iowa,2025-07-26,Premium,True
30,Roger Lee,ericakelly@example.net,001-690-700-6620x243,65,Other,Roachborough,Nebraska,2024-06-23,Regular,False
31,Cassandra Riggs,susanmartin@example.org,998.699.1360x5051,41,M,Harrisbury,Iowa,2024-07-10,Premium,False
32,Amy Jones,jacobcooper@example.net,875-681-8337x838,23,M,Port Elizabethtown,New York,2023-05-05,Premium,True
33,Jennifer Gibbs,hatfieldjoyce@example.org,001-655-893-5086x70533,58,M,Lake Ricardo,Nebraska,2024-03-23,Occasional,False
34,Nicole Hurst,jonesaaron@example.org,294-514-5693x7213,56,M,West Emily,Colorado,2024-03-22,Regular,False
35,Elijah Hodges,ibarranicholas@example.net,+1-733-952-7464x231,56,F,New Colton,Alabama,2025-02-25,Occasional,True
36,Angela White,brownpatricia@example.org,(922)398-4834x40346,53,M,North Jacquelinefurt,Ohio,2023-11-26,Occasional,True
37,Sheila Washington,ortizrebecca@example.com,(559)248-9901,61,Other,Millerburgh,Kansas,2024-03-02,Regular,True
38,Cameron Martinez,kimberly44@example.com,(791)456-8048,25,F,South Staceyfurt,Wyoming,2024-04-20,Regular,True
39,James Jacobs,gregcain@example.net,655-901-3779,47,M,Greerland,Oklahoma,2024-05-21,Occasional,True
40,Victor Gentry,mary23@example.org,+1-353-679-8813x664,50,M,New Jennifer,Tennessee,2024-02-16,Occasional,True
41,Adam Mcguire,mruiz@example.net,+1-926-366-0870,73,Other,Sarahborough,Oklahoma,2024-10-12,Regular,True
42,Jennifer Fuller,benjamin73@example.com,449.589.9046x3583,27,F,Phelpsfort,Alabama,2024-11-30,Premium,True
43,William Evans,michael36@example.org,001-436-538-1932x12284,56,F,Bryantown,Rhode Island,2023-05-04,Regular,True
44,Juan Morgan,jimenezjeffrey@example.net,(248)877-5507x111,25,F,Laurenfurt,Delaware,2025-09-28,Regular,True
45,Mark Hernandez,jacobramos@example.com,(408)228-9259x4315,21,M,Dunnchester,South Dakota,2023-04-09,Occasional,True
46,Brent Long,hromero@example.org,700-789-0198x0670,23,Other,Natashahaven,Massachusetts,2025-11-23,Regular,True
47,Elizabeth Burnett,travis36@example.net,001-268-796-8268,66,Other,North Jasonberg,Oklahoma,2023-02-12,Premium,True
48,Laura Olson,jamestaylor@example.org,817-709-1335,60,F,West Robertville,Oregon,2024-12-10,Occasional,True
49,Christian Williams,cmueller@example.com,444-925-3596,34,Other,Omarmouth,Wisconsin,2023-03-25,Occasional,False
50,James Robinson,jeffreycampbell@example.net,617.897.2151x1086,31,Other,Thomaston,Minnesota,2024-12-12,Occasional,True
